id,title,body,category,priority
28,Verifica aggiornamento dati anagrafici,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
29,Dati di fatturazione non aggiornati,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
30,Il PC non dà segni di vita,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
31,Dati di fatturazione non aggiornati,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
32,PC non si accende,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,alta
33,Dati di fatturazione non aggiornati,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
34,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
35,Blocco stampa documenti fiscali,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
36,Problema vpn,"Non si collega alla vpn, possibile timeout.",Tecnico,media
37,La postazione non si avvia,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
38,Problema wifi,"Non si collega alla wifi, possibile timeout.",Tecnico,media
39,Schermo nero all'avvio del PC,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,alta
40,Richiesta permessi aggiuntivi su portale vendite,Vorrei sapere se è disponibile portale vendite.,Commerciale,bassa
41,Dettagli per anagrafica,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
42,Prodotto non consegnato nei tempi previsti,Il tracking della spedizione ordine #12345 non risulta aggiornato da giorni.,Commerciale,media
43,Il PC non dà segni di vita,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
44,Richiesta portale vendite,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
45,Errore durante stampare con stampante,Dobbiamo stampare documenti; la stampante è inattiva.,Tecnico,media
46,Errore durante stampare con stampante,Driver di stampa non installato; impossibile stampare.,Tecnico,media
47,Impossibile stampare documenti contabili oggi,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
48,Problema wifi,"Non si collega alla wifi, possibile timeout.",Tecnico,media
49,Problema nella chiusura fiscale mensile,Richiedo dettagli sulla procedura di documenti contabili.,Amministrazione,bassa
50,Ritardo nella spedizione del ordine #12345,Il prodotto o servizio non è stato consegnato nei tempi previsti.,Commerciale,media
51,Dettagli per nota spese,Vorrei informazioni su nota spese.,Amministrazione,bassa
52,Anomalia statistiche di vendita,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
53,Errore applicativo: schermata blu,Si verifica schermata blu durante l'avvio.,Tecnico,media
54,Report vendite non aggiornato,Serve il listino aggiornato per una proposta commerciale,Commerciale,media
55,Installazione stampante su postazione,Richiedo la configurazione di stampante per le nuove attività,Tecnico,media
56,Problema nella chiusura fiscale mensile,Non è urgente: chiarimenti su fattura.,Amministrazione,bassa
57,stampante non risponde,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
58,Problema nella chiusura fiscale mensile,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
59,Urgenza stampare: stampante bloccato,Richiedo la configurazione di stampante per le nuove attività,Tecnico,media
60,Richiesta supporto su bonifico,Vorrei informazioni su bonifico.,Amministrazione,bassa
61,Richiesta supporto su dati di fatturazione,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
62,Il PC non dà segni di vita,Il computer della mia postazione non si accende più.,Tecnico,alta
63,Richiesta permessi aggiuntivi su portale vendite,Vorrei sapere se è disponibile report vendite.,Commerciale,bassa
64,Verifica aggiornamento dati anagrafici,Non è urgente: chiarimenti su nota spese.,Amministrazione,bassa
65,Mancata consegna ordine #12345,Tempi di consegna superati per l'ordine ordine #12345.,Commerciale,media
66,Dashboard vendite con valori incoerenti,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,media
67,Documenti di offerta,Vorrei sapere se è disponibile listino.,Commerciale,bassa
68,Configurazione stampante sulla mia postazione,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
69,Impossibile stampare documenti contabili oggi,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
70,Errore durante la chiusura contabile,Richiedo dettagli sulla procedura di iban.,Amministrazione,bassa
71,Ritardo nella spedizione del merce,"Il merce ordinato non è ancora arrivato, nonostante la scadenza prevista.",Commerciale,media
72,PC non si accende,Il computer della mia postazione non si accende più.,Tecnico,alta
73,Copia documento contabile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
74,Anomalia statistiche di vendita,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
75,Informazioni su pagamento,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
76,Informazioni su portale vendite,Richiedo un'offerta per portale vendite.,Commerciale,bassa
77,Richiesta supporto su estratto conto,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
78,Permessi per modificare condizioni economiche delle offerte,Vorrei sapere se è disponibile report vendite.,Commerciale,bassa
79,Schermo nero all'avvio del PC,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,alta
80,La postazione non si avvia,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
81,Richiesta listino aggiornato,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
82,Dettagli per pagamento,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
83,Ritardo nella spedizione del ordine #12345,"Il ordine #12345 ordinato non è ancora arrivato, nonostante la scadenza prevista.",Commerciale,media
84,PC non si accende,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,alta
85,Impossibile stampare su stampante,Coda di stampa bloccata; necessità immediata di stampare.,Tecnico,media
86,Impossibile stampare documenti contabili oggi,Richiedo la configurazione di stampante per le nuove attività,Tecnico,media
87,Anomalia statistiche di vendita,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,bassa
88,Richiesta supporto su bonifico,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
89,Mancata consegna componentistica,Il corriere non ha ancora consegnato il componentistica come da accordi.,Commerciale,media
90,Urgenza stampare: stampante bloccato,La stampante dell'ufficio amministrazione non risponde; dobbiamo stampare documenti contabili per scadenza fiscale,Tecnico,media
91,Verifica aggiornamento dati anagrafici,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
92,Copia documento contabile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
93,Dati di fatturazione non aggiornati,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
94,Errore durante la chiusura contabile,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
95,Dettagli per bonifico,Vorrei informazioni su bonifico.,Amministrazione,bassa
96,Errore durante la chiusura contabile,Richiedo dettagli sulla procedura di pagamento.,Amministrazione,bassa
97,Schermo nero all'avvio del PC,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
98,Informazioni su nota spese,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
99,stampante non risponde,Driver di stampa non installato; impossibile stampare.,Tecnico,media
100,Informazioni su bonifico,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
101,Prodotto non consegnato nei tempi previsti,Il prodotto o servizio non è stato consegnato nei tempi previsti.,Commerciale,media
102,Verifica aggiornamento dati anagrafici,Richiedo dettagli sulla procedura di documenti fiscali.,Amministrazione,bassa
103,Dashboard vendite con valori incoerenti,Serve il listino aggiornato per una proposta commerciale,Commerciale,media
104,Schermo nero all'avvio del PC,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,alta
105,Dettagli per pagamento,Vorrei informazioni su pagamento.,Amministrazione,bassa
106,Il PC non dà segni di vita,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
107,PC non si accende,Il computer della mia postazione non si accende più.,Tecnico,alta
108,La postazione non si avvia,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,media
109,PC non si accende,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,alta
110,La postazione non si avvia,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,media
111,La postazione non si avvia,Il computer della mia postazione non si accende più.,Tecnico,alta
112,Verifica aggiornamento dati anagrafici,Non è urgente: chiarimenti su scadenza fiscale.,Amministrazione,bassa
113,Dati di fatturazione non aggiornati,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
114,Ritardo nella spedizione del prodotto,Tempi di consegna superati per l'ordine prodotto.,Commerciale,media
115,Richiesta supporto su scadenza fiscale,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
116,Problema nella chiusura fiscale mensile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
117,Report vendite non aggiornato,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
118,Richiesta permessi aggiuntivi su portale vendite,Richiesta abilitazione per gestire le condizioni economiche delle offerte nel CRM,Commerciale,bassa
119,Permessi per modificare condizioni economiche delle offerte,Serve il listino aggiornato per una proposta commerciale,Commerciale,bassa
120,Il PC non dà segni di vita,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
121,Errore applicativo: schermata blu,Si verifica schermata blu durante l'avvio.,Tecnico,media
122,Documenti di offerta,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,bassa
123,Dettagli per dati anagrafici,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
124,Richiesta portale vendite,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
125,Problema nella chiusura fiscale mensile,Vorrei informazioni su anagrafica.,Amministrazione,bassa
126,Richiesta duplicato documento fiscale,Errore critico nella chiusura fiscale: impossibile completare la procedura Urgente.,Amministrazione,media
127,Problemi con la consegna dell'ordine,Il corriere non ha ancora consegnato il attrezzatura come da accordi.,Commerciale,media
128,Prodotto non consegnato nei tempi previsti,Ritardo nella consegna: il merce doveva arrivare la settimana scorsa.,Commerciale,media
129,Impossibile stampare su stampante,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
130,Richiesta supporto su estratto conto,Avrei bisogno di ottenere una copia di un documento fiscale già emesso Urgente.,Amministrazione,media
131,La postazione non si avvia,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
132,Urgenza stampare: stampante bloccato,Richiedo la configurazione di stampante per le nuove attività,Tecnico,media
133,Problema vpn,"Non si collega alla vpn, possibile timeout.",Tecnico,media
134,Installazione stampante su postazione,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
135,Problema proxy,"Non si collega alla proxy, possibile timeout.",Tecnico,media
136,Richiesta supporto su dati anagrafici,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
137,Dettagli per documenti contabili,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
138,Problemi con la consegna dell'ordine,Il prodotto o servizio non è stato consegnato nei tempi previsti.,Commerciale,media
139,Verifica aggiornamento dati anagrafici,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
140,Richiesta listino,Richiedo un'offerta per listino.,Commerciale,bassa
141,Richiesta installazione stampante,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
142,Richiesta permessi aggiuntivi su portale vendite,Richiesta abilitazione per gestire le condizioni economiche delle offerte nel CRM,Commerciale,bassa
143,Richiesta permessi aggiuntivi su portale vendite,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
144,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
145,Urgenza stampare: stampante bloccato,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
146,Errore durante la chiusura contabile,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
147,Richiesta supporto su estratto conto,Richiedo dettagli sulla procedura di estratto conto.,Amministrazione,bassa
148,Problema nella chiusura fiscale mensile,Vorrei informazioni su scadenza fiscale.,Amministrazione,bassa
149,Il PC non dà segni di vita,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
150,Copia documento contabile,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
151,Documenti di offerta,Richiedo un'offerta per report vendite.,Commerciale,bassa
152,Problema timeout,"Non si collega alla timeout, possibile timeout.",Tecnico,media
153,Errore applicativo: schermata blu,Si verifica schermata blu durante l'avvio.,Tecnico,media
154,Dati di fatturazione non aggiornati,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
155,Dati di fatturazione non aggiornati,Richiedo duplicato fattura per reinvio al fornitore Urgente.,Amministrazione,media
156,Richiesta supporto su rimborso spese,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
157,Richiesta duplicato documento fiscale,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
158,Richiesta supporto su documenti contabili,Non è urgente: chiarimenti su documenti contabili.,Amministrazione,bassa
159,Documenti di offerta,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,bassa
160,Installazione stampante su postazione,La stampante dell'ufficio amministrazione non risponde; dobbiamo stampare documenti contabili per scadenza fiscale,Tecnico,media
161,Problema nella chiusura fiscale mensile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
162,Impossibile stampare documenti contabili oggi,Serve il setup di stampante sul PC assegnato,Tecnico,media
163,Errore durante la chiusura contabile,Vorrei informazioni su estratto conto.,Amministrazione,bassa
164,Richiesta listino aggiornato,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
165,Copia documento contabile,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
166,Errore durante stampare con stampante,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
167,Dettagli per bonifico,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
168,Configurazione stampante sulla mia postazione,La stampante dell'ufficio amministrazione non risponde; dobbiamo stampare documenti contabili per scadenza fiscale,Tecnico,media
169,Problema wifi,"Non si collega alla wifi, possibile timeout.",Tecnico,media
170,Impossibile stampare documenti contabili oggi,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
171,Problema rete,"Non si collega alla rete, possibile timeout.",Tecnico,media
172,Richiesta listino aggiornato,Richiesta abilitazione per gestire le condizioni economiche delle offerte nel CRM,Commerciale,bassa
173,Errore durante la chiusura contabile,Vorrei informazioni su iban.,Amministrazione,bassa
174,Urgenza stampare: stampante bloccato,Coda di stampa bloccata; necessità immediata di stampare.,Tecnico,media
175,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
176,Verifica aggiornamento dati anagrafici,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
177,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
178,Blocco stampa documenti fiscali,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
179,Mancata consegna attrezzatura,Tempi di consegna superati per l'ordine attrezzatura.,Commerciale,media
180,La postazione non si avvia,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,media
181,Prodotto non consegnato nei tempi previsti,Tempi di consegna superati per l'ordine componentistica.,Commerciale,media
182,Documenti di offerta,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,bassa
183,Errore durante stampare con stampante,Dobbiamo stampare documenti; la stampante è inattiva.,Tecnico,media
184,Informazioni su nota spese,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
185,Problema timeout,"Non si collega alla timeout, possibile timeout.",Tecnico,media
186,Richiesta supporto su dati di fatturazione,Vorrei informazioni su dati di fatturazione.,Amministrazione,bassa
187,Copia documento contabile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
188,PC non si accende,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,alta
189,Problema nella chiusura fiscale mensile,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
190,Problemi con la consegna dell'ordine,Ritardo nella consegna: il attrezzatura doveva arrivare la settimana scorsa.,Commerciale,media
191,Ritardo consegna,"Il merce ordinato non è ancora arrivato, nonostante la scadenza prevista.",Commerciale,media
192,Blocco stampa documenti fiscali,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
193,Schermo nero all'avvio del PC,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,alta
194,Richiesta permessi aggiuntivi su portale vendite,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,bassa
195,Richiesta listino aggiornato,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
196,Report vendite non aggiornato,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,media
197,Richiesta duplicato documento fiscale,Vorrei informazioni su fattura.,Amministrazione,bassa
198,Informazioni su documenti contabili,Vorrei informazioni su documenti contabili.,Amministrazione,bassa
199,Errore durante la chiusura contabile,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
200,Schermo nero all'avvio del PC,"Il monitor resta nero; nessun beep, nessun logo di avvio.",Tecnico,alta
201,Il PC non dà segni di vita,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,media
202,Dati di fatturazione non aggiornati,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
203,Copia documento contabile,Vorrei informazioni su dati di fatturazione. Urgente.,Amministrazione,media
204,Verifica aggiornamento dati anagrafici,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
205,Tracking spedizione non aggiornato,Ritardo nella consegna: il ordine #12345 doveva arrivare la settimana scorsa.,Commerciale,media
206,Il PC non dà segni di vita,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
207,Errore applicativo: crash,Si verifica crash durante l'avvio.,Tecnico,media
208,Problema vpn,"Non si collega alla vpn, possibile timeout.",Tecnico,media
209,Verifica aggiornamento dati anagrafici,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
210,Anomalia statistiche di vendita,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
211,Informazioni su documenti contabili,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
212,Richiesta permessi aggiuntivi su portale vendite,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
213,Errore applicativo: errore,Si verifica errore durante l'avvio.,Tecnico,media
214,Problema nella chiusura fiscale mensile,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
215,Schermo nero all'avvio del PC,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,alta
216,Urgenza stampare: stampante bloccato,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
217,Anomalia statistiche di vendita,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
218,Problema nella chiusura fiscale mensile,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
219,Prodotto non consegnato nei tempi previsti,Ritardo nella consegna: il materiale doveva arrivare la settimana scorsa.,Commerciale,media
220,Richiesta duplicato documento fiscale,Richiedo dettagli sulla procedura di dati di fatturazione.,Amministrazione,bassa
221,Informazioni su dati di fatturazione,Non è urgente: chiarimenti su dati di fatturazione.,Amministrazione,bassa
222,Richiesta duplicato documento fiscale,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
223,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
224,Impossibile stampare su stampante,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
225,Permessi per modificare condizioni economiche delle offerte,Richiesta abilitazione per gestire le condizioni economiche delle offerte nel CRM,Commerciale,bassa
226,PC non si accende,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,alta
227,Copia documento contabile,Non è urgente: chiarimenti su dati anagrafici.,Amministrazione,bassa
228,Ritardo consegna,Il corriere non ha ancora consegnato il attrezzatura come da accordi.,Commerciale,media
229,Schermo nero all'avvio del PC,"Il monitor resta nero; nessun beep, nessun logo di avvio.",Tecnico,alta
230,Errore applicativo: crash,Si verifica crash durante l'avvio.,Tecnico,media
231,Informazioni su dati fatturazione,Richiedo dettagli sulla procedura di dati fatturazione.,Amministrazione,bassa
232,Prodotto non consegnato nei tempi previsti,"Il attrezzatura ordinato non è ancora arrivato, nonostante la scadenza prevista.",Commerciale,media
233,Errore applicativo: errore,Si verifica errore durante l'avvio.,Tecnico,media
234,stampante non risponde,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
235,Problema nella chiusura fiscale mensile,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
236,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
237,Problema connessione,"Non si collega alla connessione, possibile timeout.",Tecnico,media
238,Dettagli per iban,Non è urgente: chiarimenti su iban.,Amministrazione,bassa
239,Dati di fatturazione non aggiornati,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
240,stampante non risponde,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
241,Copia documento contabile,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti. Urgente.,Amministrazione,media
242,Problema vpn,"Non si collega alla vpn, possibile timeout.",Tecnico,media
243,Verifica aggiornamento dati anagrafici,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
244,Richiesta listino aggiornato,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,bassa
245,PC non si accende,"Il monitor resta nero; nessun beep, nessun logo di avvio.",Tecnico,alta
246,Problemi con la consegna dell'ordine,Ritardo nella consegna: il prodotto doveva arrivare la settimana scorsa.,Commerciale,media
247,Schermo nero all'avvio del PC,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
248,Dettagli per nota spese,Non è urgente: chiarimenti su nota spese.,Amministrazione,bassa
249,Problema nella chiusura fiscale mensile,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
250,Dati di fatturazione non aggiornati,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
251,Installazione stampante su postazione,Coda di stampa bloccata; necessità immediata di stampare.,Tecnico,media
252,Dati di fatturazione non aggiornati,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
253,Richiesta duplicato documento fiscale,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
254,Impossibile stampare documenti contabili oggi,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
255,Problema nella chiusura fiscale mensile,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
256,Informazioni su kpi vendite,Richiesta abilitazione per gestire le condizioni economiche delle offerte nel CRM,Commerciale,bassa
257,Verifica aggiornamento dati anagrafici,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
258,Schermo nero all'avvio del PC,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,alta
259,Errore durante la chiusura contabile,Non è urgente: chiarimenti su bonifico.,Amministrazione,bassa
260,Il PC non dà segni di vita,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,media
261,Problema connessione,"Non si collega alla connessione, possibile timeout.",Tecnico,media
262,Informazioni su dati di fatturazione,Richiedo dettagli sulla procedura di dati di fatturazione.,Amministrazione,bassa
263,Problema nella chiusura fiscale mensile,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
264,Errore durante la chiusura contabile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
265,Errore durante stampare con stampante,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
266,Verifica aggiornamento dati anagrafici,Vorrei informazioni su fattura.,Amministrazione,bassa
267,Report vendite non aggiornato,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,media
268,Informazioni su scadenza fiscale,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
269,Problema nella chiusura fiscale mensile,Richiedo dettagli sulla procedura di iban.,Amministrazione,bassa
